"","CON_0_1","CON_0_2","CON_0_3","CON_10_1","CON_10_2","CON_10_3","CON_20_1","CON_20_2","CON_20_3","CON_30_1"
"LK433_RS00010",184.865400719907,166.119572345235,156.948217756376,175.477876820229,269.835455861487,148.840023973906,184.018286856437,182.365684491048,164.958105620238,189.510661053758
"LK433_RS00015",375.583787841402,431.025124832332,428.633339787388,381.597752394132,371.122373890921,401.25131673408,324.443966028954,328.281127310632,348.605360840769,297.5839043186
"LK433_RS00020",1186.94811243538,1281.67173095704,1300.07299242651,1299.60421960111,772.663550478074,1300.26557846964,1107.44275547918,1189.01288037689,1131.79517413626,1080.7617501868
"LK433_RS00025",6203.9029572493,6682.12375656448,6498.99749725333,6802.42651849929,3999.9207683939,6308.98461734994,5825.64354715917,5875.23302303355,5975.27225496369,5735.70224368018
"LK433_RS00030",5979.1101734242,6496.3185034793,6725.959852284,6521.76054525614,3595.23122617377,6263.45616326898,5713.33810727169,5727.13070550491,5521.48047844094,4888.74545166185
"LK433_RS00035",6425.18947053687,6898.83566819684,6718.0318546115,6927.2312696787,4100.39674987345,6446.9970451577,5732.62028542194,5883.63761634295,5600.92299226748,4924.70101479729
"LK433_RS00040",5926.73490328027,6559.7655809261,6432.18505627302,6634.60093818982,3543.88352165413,6352.24560858628,5685.18533525382,5741.64339561497,5767.12046421183,5272.51214294224
"LK433_RS00045",560.631889712956,568.804402185169,518.102315549171,512.3730527406,409.453483886111,448.257036204006,448.800764729052,474.385971248987,401.098380038017,398.339095416554
"LK433_RS00050",1949.55250029459,1867.72491812759,1786.78866777699,1828.68391997089,1125.08425145433,1784.25523490438,1820.40298590211,1889.70810854053,1842.32856088781,1801.78620795385
"LK433_RS00055",987.118501081133,946.485786360925,789.27832025932,701.145883223182,894.531621788125,767.685483498976,1919.78342386528,1834.65115323599,718.335567960729,1435.94488918146
"LK433_RS00060",31.959788033374,26.6756244193007,36.566262848811,30.7134656990036,307.358031582712,41.4052684043861,31.0125057083075,51.8827132543626,42.6225940692071,35.4708356324238
"LK433_RS00065",26.7421090359358,28.01061904193,30.4701545653632,33.6169194142979,239.071486888988,37.0137175360175,31.7880866692646,27.528328242023,25.2685377193192,22.3713300280358
