"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS09495",0.288672477848052,6.41104891516177,3.1200455822516,0.104634185968032,0.14438603827903,"LK433_RS09495","LK433_RS09495"
"LK433_RS01060",0.424959631014443,5.37603296371054,3.11827947767747,0.104721361638472,0.144427497120599,"LK433_RS01060","LK433_RS01060"
"LK433_RS13325",-0.382127680251036,5.39931317799851,3.11234160384971,0.105015120413844,0.144753666524645,"LK433_RS13325","LK433_RS13325"
"LK433_RS01485",0.215887232408844,8.22238826144453,3.09983300520966,0.105637305991547,0.145531939807428,"LK433_RS01485","LK433_RS01485"
"LK433_RS03895",0.460209875184014,4.34177084265792,3.08985928659264,0.106136692438105,0.146140282398436,"LK433_RS03895","LK433_RS03895"
"LK433_RS07005",-0.22126539917817,8.52356783235672,3.07958980413278,0.106653959922872,0.146772569779543,"LK433_RS07005","LK433_RS07005"
"LK433_RS05790",0.346889282650688,5.75176820271047,3.07525891511708,0.106873044145057,0.146994045483516,"LK433_RS05790","LK433_RS05790"
"LK433_RS09390",0.438989791917892,4.67982698515966,3.07169223095901,0.1070538905733,0.147162716350899,"LK433_RS09390","LK433_RS09390"
"LK433_RS12670",-0.262815880274844,9.55311507321639,3.05376351964362,0.107968745225464,0.148339667353246,"LK433_RS12670","LK433_RS12670"
"LK433_RS01940",0.250349982721557,6.49464068634888,3.04753092801751,0.108289055988112,0.148698931851139,"LK433_RS01940","LK433_RS01940"
"LK433_RS05140",0.256262144957493,9.83953743874039,3.04075961714887,0.108638395269104,0.149016746196579,"LK433_RS05140","LK433_RS05140"
"LK433_RS09590",-0.206496826404349,7.76893087466091,3.04100193599353,0.108625869585597,0.149016746196579,"LK433_RS09590","LK433_RS09590"
"LK433_RS03925",0.457777314745652,4.70229151232012,3.03613346396946,0.10887787071434,0.149264239243954,"LK433_RS03925","LK433_RS03925"
"LK433_RS08740",0.230224052802286,8.35109927863783,3.02109260255942,0.109661027380401,0.150256410416073,"LK433_RS08740","LK433_RS08740"
"LK433_RS14360",-0.258365995613937,6.60025280788735,3.01450408507317,0.110006292271829,0.150647836870631,"LK433_RS14360","LK433_RS14360"
"LK433_RS12745",0.215751390027241,8.02228507949524,3.00862806574202,0.11031536292387,0.15098930020116,"LK433_RS12745","LK433_RS12745"
"LK433_RS04205",0.509443449393225,3.70737677361892,2.99194858081682,0.111198597462736,0.152115830295345,"LK433_RS04205","LK433_RS04205"
"LK433_RS06505",-0.213320102272784,8.46572661376822,2.9761784598589,0.112041802056503,0.153186411897695,"LK433_RS06505","LK433_RS06505"
"LK433_RS02865",-0.29880657563409,6.38338231505841,2.96975794849206,0.11238738078696,0.153575837096992,"LK433_RS02865","LK433_RS02865"
"LK433_RS03855",0.300747482101596,10.3996336821157,2.96496461029945,0.112646245600805,0.153846412144157,"LK433_RS03855","LK433_RS03855"
"LK433_RS07190",-0.254547748060328,9.15732160836721,2.95351857054474,0.113267406600183,0.154568151293886,"LK433_RS07190","LK433_RS07190"
"LK433_RS07945",0.2965146034539,5.93113491355641,2.95297544336368,0.11329698747926,0.154568151293886,"LK433_RS07945","LK433_RS07945"
"LK433_RS06655",0.261394820920877,6.34003757952456,2.91479827380393,0.115400659864317,0.157353219059866,"LK433_RS06655","LK433_RS06655"
"LK433_RS02870",0.404252666180204,5.59127415762286,2.90459385326888,0.115971199390526,0.15804592563841,"LK433_RS02870","LK433_RS02870"
"LK433_RS06385",0.301365058384944,10.2266451105905,2.9023426279676,0.116097542014288,0.158132858950495,"LK433_RS06385","LK433_RS06385"
"LK433_RS14260",-0.358840202312914,5.43930083955019,2.8937740511246,0.11658000181413,0.15870449358434,"LK433_RS14260","LK433_RS14260"
"LK433_RS07665",-0.253065331506304,6.82052301360487,2.88282473921502,0.117200164737288,0.159428978345744,"LK433_RS07665","LK433_RS07665"
"LK433_RS13330",-0.222180875608316,7.42186996137095,2.88215346977471,0.11723831912371,0.159428978345744,"LK433_RS13330","LK433_RS13330"
"LK433_RS10940",0.321812627297974,11.8844824411354,2.87080553885554,0.117885683562721,0.160223122605677,"LK433_RS10940","LK433_RS10940"
"LK433_RS04540",0.222876011275143,7.16214305950431,2.85240371234615,0.11894498716431,0.161575995460169,"LK433_RS04540","LK433_RS04540"
"LK433_RS10990",-0.326726637824116,5.78877363656501,2.83511851138246,0.119950886096116,0.162854908727702,"LK433_RS10990","LK433_RS10990"
"LK433_RS04870",-0.351898705860846,6.22029791441519,2.82794551952124,0.120371439286865,0.163163001885895,"LK433_RS04870","LK433_RS04870"
"LK433_RS08995",0.285719838104232,7.35394972748986,2.82796546102503,0.120370267556759,0.163163001885895,"LK433_RS08995","LK433_RS08995"
"LK433_RS11400",-0.219252813283365,8.72187839522324,2.8298695617018,0.120258451501919,0.163163001885895,"LK433_RS11400","LK433_RS11400"
"LK433_RS00235",0.341735572582476,11.4876508851998,2.82326907064168,0.120646614783465,0.163448361292926,"LK433_RS00235","LK433_RS00235"
"LK433_RS13595",-0.203895897933165,7.98258888974362,2.81826776199608,0.120941778659522,0.163760480156011,"LK433_RS13595","LK433_RS13595"
"LK433_RS00330",-0.293250175699088,6.55840202061476,2.81168820952584,0.121331465864382,0.164200185067002,"LK433_RS00330","LK433_RS00330"
"LK433_RS00835",0.307351893954655,6.57240087883983,2.80224234356204,0.121893671735721,0.16487032404662,"LK433_RS00835","LK433_RS00835"
"LK433_RS03250",-0.365589816781209,5.21743510260156,2.80118037014632,0.121957083056637,0.16487032404662,"LK433_RS03250","LK433_RS03250"
"LK433_RS10465",0.201660052116112,7.93718266442337,2.79830554196991,0.122128949081335,0.165014421848003,"LK433_RS10465","LK433_RS10465"
"LK433_RS08985",0.386458231645068,5.38513790351046,2.79216589349437,0.122497014035296,0.165423318098947,"LK433_RS08985","LK433_RS08985"
"LK433_RS09900",0.372508030126635,5.43652325416171,2.77667811080992,0.123431688905112,0.166596534731513,"LK433_RS09900","LK433_RS09900"
"LK433_RS10110",-0.579430635516015,3.3469819490119,2.77051981600782,0.123805821927471,0.167012336089993,"LK433_RS10110","LK433_RS10110"
"LK433_RS02860",-0.2374899046039,7.02312391753794,2.7573455511934,0.12461098478503,0.168008837086163,"LK433_RS02860","LK433_RS02860"
"LK433_RS02595",-0.274150508844182,10.9847348474847,2.75076851562001,0.12501540902588,0.168374509332672,"LK433_RS02595","LK433_RS02595"
"LK433_RS12465",0.34340285903715,5.53264310009312,2.75166376150683,0.124960263249616,0.168374509332672,"LK433_RS12465","LK433_RS12465"
"LK433_RS08760",-0.417854715295581,4.78256319891568,2.74933098079882,0.12510402291407,0.168404137341198,"LK433_RS08760","LK433_RS08760"
"LK433_RS11685",-0.265186924688435,6.21211241433731,2.74495562481412,0.125374218576053,0.168678033294445,"LK433_RS11685","LK433_RS11685"
"LK433_RS11040",0.230445040377771,9.11988464143801,2.74370870438114,0.125451355034372,0.16869203485473,"LK433_RS11040","LK433_RS11040"
"LK433_RS06360",0.287624667450504,6.02737742344113,2.73566106341438,0.125950631205448,0.169273362938529,"LK433_RS06360","LK433_RS06360"
"LK433_RS04450",-0.198297663149672,7.84446241290487,2.72552093251148,0.126583285238545,0.170033233306611,"LK433_RS04450","LK433_RS04450"
"LK433_RS04795",0.37816950552269,5.89574167819047,2.72285018936836,0.126750579839329,0.17007721116445,"LK433_RS04795","LK433_RS04795"
"LK433_RS05170",0.276049013118795,10.7891630586069,2.72339135087127,0.126716659198831,0.17007721116445,"LK433_RS05170","LK433_RS05170"
"LK433_RS02250",0.45899176083664,4.45452697000911,2.7183175210839,0.127035141392451,0.170368614026586,"LK433_RS02250","LK433_RS02250"
"LK433_RS04825",0.374366537745678,5.112461351763,2.70885793771993,0.127631606806791,0.170987123480428,"LK433_RS04825","LK433_RS04825"
"LK433_RS05195",0.4778592165058,4.33952496301011,2.70924539871049,0.127607106741868,0.170987123480428,"LK433_RS05195","LK433_RS05195"
"LK433_RS08395",0.311468984956156,5.84044729415231,2.69669080354579,0.128403981482625,0.171930754866565,"LK433_RS08395","LK433_RS08395"
"LK433_RS10430",-0.225031565096145,7.71004973592929,2.69199501806712,0.128703643588843,0.172240768127366,"LK433_RS10430","LK433_RS10430"
"LK433_RS05395",-0.378833161813096,5.38562975641922,2.68055866105433,0.129437145247285,0.173130742425998,"LK433_RS05395","LK433_RS05395"
"LK433_RS12265",0.290439617970596,6.76052934099586,2.67648965227732,0.129699390418823,0.173389772067046,"LK433_RS12265","LK433_RS12265"
"LK433_RS14155",-0.359676329476265,6.0999484636477,2.6741239451834,0.129852166272477,0.173502260220308,"LK433_RS14155","LK433_RS14155"
"LK433_RS03335",-0.217996725026065,7.71745441877038,2.66889240056767,0.130190821287813,0.173862861180978,"LK433_RS03335","LK433_RS03335"
"LK433_RS04970",0.27957106425543,6.09567060666394,2.66309659308349,0.130567302264908,0.174181604287961,"LK433_RS04970","LK433_RS04970"
"LK433_RS07105",0.433514217896498,4.22839428335399,2.66310394358698,0.130566823927274,0.174181604287961,"LK433_RS07105","LK433_RS07105"
"LK433_RS13120",0.295512440236556,5.88219270238836,2.65900737888723,0.130833752345186,0.174445003126915,"LK433_RS13120","LK433_RS13120"
"LK433_RS02175",-0.235774693552796,9.42979588465324,2.6535193573155,0.13119242484595,0.174831022672937,"LK433_RS02175","LK433_RS02175"
"LK433_RS13415",0.431390500548104,4.70936497155141,2.64608047737529,0.131680576378622,0.175389092247185,"LK433_RS13415","LK433_RS13415"
"LK433_RS14340",-0.484576385061207,5.12376012660271,2.6288545580638,0.132819786439696,0.176813280736994,"LK433_RS14340","LK433_RS14340"
"LK433_RS00880",0.22598222787959,9.25454965992962,2.60776387127663,0.13423156199549,0.178598625644526,"LK433_RS00880","LK433_RS00880"
"LK433_RS12960",0.1990369858095,7.61056536906487,2.59793337792972,0.134896066171288,0.179388351015789,"LK433_RS12960","LK433_RS12960"
"LK433_RS05020",0.448235805547692,4.7933257424361,2.59435051113421,0.135139286348012,0.179617305934687,"LK433_RS05020","LK433_RS05020"
"LK433_RS07635",-0.248064894599227,6.44073268370566,2.57152668010614,0.136701732390227,0.181598517857328,"LK433_RS07635","LK433_RS07635"
"LK433_RS03915",-0.399371799856067,4.53464742665452,2.56144606451894,0.137399081477687,0.182429032550207,"LK433_RS03915","LK433_RS03915"
"LK433_RS07515",0.409450781312176,4.78924646692442,2.55332595660071,0.137964079863839,0.18308304141511,"LK433_RS07515","LK433_RS07515"
"LK433_RS14235",-0.246647626639552,6.74617372907098,2.55068437613009,0.138148514324205,0.183231607666102,"LK433_RS14235","LK433_RS14235"
"LK433_RS11960",0.232943465619689,6.98026436630606,2.54636805714601,0.138450549916712,0.18353591514916,"LK433_RS11960","LK433_RS11960"
"LK433_RS13590",0.381759764706298,5.28793631888862,2.53832018476445,0.139015935287656,0.184188828305657,"LK433_RS13590","LK433_RS13590"
"LK433_RS01375",0.293355804493835,5.79197160268495,2.52985439139762,0.139613836235203,0.18488411629261,"LK433_RS01375","LK433_RS01375"
"LK433_RS01235",-0.229875876479938,8.84283476062534,2.52841814544797,0.139715594398626,0.184922001382056,"LK433_RS01235","LK433_RS01235"
"LK433_RS14690",0.415623536917164,5.35225844351202,2.52735992807854,0.139790629249982,0.184924495418082,"LK433_RS14690","LK433_RS14690"
"LK433_RS08445",0.249794030436196,8.94428439085968,2.52427178155089,0.140009891694723,0.185117681069174,"LK433_RS08445","LK433_RS08445"
"LK433_RS01435",-0.326786834018317,5.72056823411888,2.51457742519949,0.140701037567359,0.185765804881546,"LK433_RS01435","LK433_RS01435"
"LK433_RS10865",0.251898498011017,8.9998120176448,2.51430479775799,0.140720536530127,0.185765804881546,"LK433_RS10865","LK433_RS10865"
"LK433_RS12630",-0.353315422419778,5.51749246108189,2.51437385713181,0.140715596916016,0.185765804881546,"LK433_RS12630","LK433_RS12630"
"LK433_RS02955",-0.391233900049415,5.61724795555502,2.50870422294356,0.141121861073471,0.186198363671052,"LK433_RS02955","LK433_RS02955"
"LK433_RS11575",0.409447305808298,4.80582600745921,2.5019688752293,0.141606422440336,0.186740237834726,"LK433_RS11575","LK433_RS11575"
"LK433_RS09985",0.211102335485038,8.35419079523344,2.49721151420886,0.141949951825922,0.1870956612179,"LK433_RS09985","LK433_RS09985"
"LK433_RS07690",-0.229274964531073,6.62771737413635,2.49132373738052,0.14237657184937,0.187560173858888,"LK433_RS07690","LK433_RS07690"
"LK433_RS01260",0.396084989272997,6.10038971649438,2.48802280355137,0.14261646368673,0.187778343854194,"LK433_RS01260","LK433_RS01260"
"LK433_RS00150",0.204644683092776,7.13794559127424,2.47586993590707,0.143504087468268,0.188848689807278,"LK433_RS00150","LK433_RS00150"
"LK433_RS04475",-0.422743868040529,4.26106265430307,2.46369469240662,0.144400380939458,0.18992932518988,"LK433_RS04475","LK433_RS04475"
