read_type	1_CON_0_1_NEB_DPLEX	3_CON_2_1_NEB_DPLEX	4_CON_2_2_NEB_DPLEX	5_PNA_0_1_NEB_DPLEX	6_PNA_0_2_NEB_DPLEX	7_PNA_2_1_NEB_DPLEX	8_PNA_2_2_NEB_DPLEX	CON_0_1_RZ_DPLEX	CON_0_2_RZ_DPLEX	CON_2_1_RZ_DPLEX	CON_2_2_RZ_DPLEX	PNA_0_1_RZ_DPLEX	PNA_0_2_RZ_DPLEX	PNA_2_1_RZ_DPLEX	PNA_2_2_RZ_DPLEX
Input reads	41137282	26909660	20437300	29042316	22774391	27084102	16135916	11848371	10870273	8863887	8908500	9306347	9507303	9510000	6567206
after trimming 	27642689	19574334	15820396	19837638	15507825	20044431	12254088	2264318	1879152	2292574	867000	1235854	1146330	1434951	503624
mapped	17180602	14413133	12860681	12115288	9817050	14822228	8821437	859636	490921	794141	583188	407782	366105	749062	247025

