Bovatus_RS00805	Bovatus_00165
Bovatus_RS00810	Bovatus_00166
Bovatus_RS00815	Bovatus_00167
Bovatus_RS00820	Bovatus_00168
Bovatus_RS00825	Bovatus_00169
Bovatus_RS00830	Bovatus_00170
Bovatus_RS00835	Bovatus_00171;pseudo=true
Bovatus_RS00840	Bovatus_00172
Bovatus_RS00845	Bovatus_00173
Bovatus_RS00850	Bovatus_00174
Bovatus_RS00855	Bovatus_00175
Bovatus_RS00860	Bovatus_00176
Bovatus_RS00865	Bovatus_00177
Bovatus_RS00870	Bovatus_00178
Bovatus_RS25120	Bovatus_00179
Bovatus_RS00875	Bovatus_00180
Bovatus_RS00880	Bovatus_00181
Bovatus_RS00885	Bovatus_00182
Bovatus_RS00890	Bovatus_00183
Bovatus_RS00895	Bovatus_00184
Bovatus_RS00900	Bovatus_00185
Bovatus_RS00905	Bovatus_00186
Bovatus_RS00910	Bovatus_00187
Bovatus_RS00920	Bovatus_00189
Bovatus_RS00925	Bovatus_00190;pseudo=true
Bovatus_RS00930	Bovatus_00191
Bovatus_RS00940	Bovatus_00192
Bovatus_RS00945	Bovatus_00193
Bovatus_RS00950	Bovatus_00194
Bovatus_RS00955	Bovatus_00195
Bovatus_RS00960	Bovatus_00197
Bovatus_RS00965	Bovatus_00198
Bovatus_RS00970	Bovatus_00199
Bovatus_RS00975	Bovatus_00200
Bovatus_RS00980	Bovatus_00201
Bovatus_RS00985	Bovatus_00202
Bovatus_RS00990	Bovatus_00203
Bovatus_RS00995	Bovatus_00204
Bovatus_RS01000	Bovatus_00205
Bovatus_RS01005	Bovatus_00206
Bovatus_RS01010	Bovatus_00207
Bovatus_RS01015	Bovatus_00208
Bovatus_RS01020	Bovatus_00209
Bovatus_RS01025	Bovatus_00210
Bovatus_RS01030	Bovatus_00211
Bovatus_RS01035	Bovatus_00212
Bovatus_RS01040	Bovatus_00213
Bovatus_RS01045	Bovatus_00214
Bovatus_RS01050	Bovatus_00215
Bovatus_RS01055	Bovatus_00216
Bovatus_RS01060	Bovatus_00217
Bovatus_RS01065	Bovatus_00218
Bovatus_RS01070	Bovatus_00219
Bovatus_RS01075	Bovatus_00220
Bovatus_RS01080	Bovatus_00221
Bovatus_RS25385	Bovatus_00222
Bovatus_RS01085	Bovatus_00223
Bovatus_RS01090	Bovatus_00224
Bovatus_RS01095	Bovatus_00225
Bovatus_RS01100	Bovatus_00226
Bovatus_RS01105	Bovatus_00228
Bovatus_RS01110	Bovatus_00229
Bovatus_RS01115	Bovatus_00230
Bovatus_RS01120	Bovatus_00231
Bovatus_RS01125	Bovatus_00232
Bovatus_RS01130	Bovatus_00233
Bovatus_RS01135	Bovatus_00234
Bovatus_RS01140	Bovatus_00235
Bovatus_RS01145	Bovatus_00236
Bovatus_RS01150	Bovatus_00237
Bovatus_RS01155	Bovatus_00238
Bovatus_RS01160	Bovatus_00239
Bovatus_RS01165	Bovatus_00240
Bovatus_RS01170	Bovatus_00241
Bovatus_RS01175	Bovatus_00242
Bovatus_RS01180	Bovatus_00243
Bovatus_RS01185	Bovatus_00244
Bovatus_RS01190	Bovatus_00245
Bovatus_RS01195	Bovatus_00246
Bovatus_RS01200	Bovatus_00247
Bovatus_RS01215	Bovatus_00250
Bovatus_RS01220	Bovatus_00251;partial=true;pseudo=true
Bovatus_RS01225	Bovatus_00252
Bovatus_RS01230	Bovatus_00253
Bovatus_RS01235	Bovatus_00254
Bovatus_RS01240	Bovatus_00255
Bovatus_RS01245	Bovatus_00256
Bovatus_RS01250	Bovatus_00257
Bovatus_RS01255	Bovatus_00258
Bovatus_RS01260	Bovatus_00259
Bovatus_RS01265	Bovatus_00260
Bovatus_RS01270	Bovatus_00261
Bovatus_RS01275	Bovatus_00262
Bovatus_RS01280	Bovatus_00263
Bovatus_RS01285	Bovatus_00264
Bovatus_RS01290	Bovatus_00265
Bovatus_RS01295	Bovatus_00266
Bovatus_RS01300	Bovatus_00267
Bovatus_RS01305	Bovatus_00268
Bovatus_RS01310	Bovatus_00269
Bovatus_RS01315	Bovatus_00270
Bovatus_RS01320	Bovatus_00271
Bovatus_RS01325	Bovatus_00272
Bovatus_RS01330	Bovatus_00273
Bovatus_RS01335	Bovatus_00274
Bovatus_RS01340	Bovatus_00275
Bovatus_RS01345	Bovatus_00276
Bovatus_RS01350	Bovatus_00277
Bovatus_RS01355	Bovatus_00278
Bovatus_RS01360	Bovatus_00279
Bovatus_RS01365	Bovatus_00280
Bovatus_RS01370	Bovatus_00281
Bovatus_RS01375	Bovatus_00282
Bovatus_RS01380	Bovatus_00283
Bovatus_RS01385	Bovatus_00285
Bovatus_RS01390	Bovatus_00286
Bovatus_RS01395	Bovatus_00287
Bovatus_RS01400	Bovatus_00288
Bovatus_RS01405	Bovatus_00289
Bovatus_RS01410	Bovatus_00290
Bovatus_RS01415	Bovatus_00291
Bovatus_RS01420	Bovatus_00292
Bovatus_RS01425	Bovatus_00293
Bovatus_RS01430	Bovatus_00294
Bovatus_RS01435	Bovatus_00295
Bovatus_RS01440	Bovatus_00296
Bovatus_RS01445	Bovatus_00297
Bovatus_RS01450	Bovatus_00298
Bovatus_RS01455	Bovatus_00299
Bovatus_RS01460	Bovatus_00300
Bovatus_RS01465	Bovatus_00301
Bovatus_RS01470	Bovatus_00302
Bovatus_RS01475	Bovatus_00303
Bovatus_RS01480	Bovatus_00304
Bovatus_RS01485	Bovatus_00305
Bovatus_RS01490	Bovatus_00306
Bovatus_RS01495	Bovatus_00307
Bovatus_RS01500	Bovatus_00308
Bovatus_RS01505	Bovatus_00309
Bovatus_RS01515	Bovatus_00310
Bovatus_RS01520	Bovatus_00311
Bovatus_RS01525	Bovatus_00312
Bovatus_RS01530	Bovatus_00313
Bovatus_RS01535	Bovatus_00314
Bovatus_RS01540	Bovatus_00315
Bovatus_RS01545	Bovatus_00316
Bovatus_RS01550	Bovatus_00317
Bovatus_RS01555	Bovatus_00318
Bovatus_RS01560	Bovatus_00319
Bovatus_RS01565	Bovatus_00321
Bovatus_RS01570	Bovatus_00322
Bovatus_RS01575	Bovatus_00323
Bovatus_RS01580	Bovatus_00324
Bovatus_RS01590	Bovatus_00326
Bovatus_RS01595	Bovatus_00327
Bovatus_RS01600	Bovatus_00328
Bovatus_RS01605	Bovatus_00329
Bovatus_RS01610	Bovatus_00330
Bovatus_RS01615	Bovatus_00331
Bovatus_RS01620	Bovatus_00332
Bovatus_RS01630	Bovatus_00334
Bovatus_RS01635	Bovatus_00335
Bovatus_RS01640	Bovatus_00336
Bovatus_RS01645	Bovatus_00337
Bovatus_RS01650	Bovatus_00338
Bovatus_RS01655	Bovatus_00339
Bovatus_RS01660	Bovatus_00340
Bovatus_RS01665	Bovatus_00341
Bovatus_RS01670	Bovatus_00342
Bovatus_RS01675	Bovatus_00343
Bovatus_RS01680	Bovatus_00344
Bovatus_RS01685	Bovatus_00345
Bovatus_RS01690	Bovatus_00346
Bovatus_RS01695	Bovatus_00347
Bovatus_RS01700	Bovatus_00348
Bovatus_RS01705	Bovatus_00349
Bovatus_RS01710	Bovatus_00350
Bovatus_RS01715	Bovatus_00351
Bovatus_RS01720	Bovatus_00352
Bovatus_RS01725	Bovatus_00353
Bovatus_RS01730	Bovatus_00354
Bovatus_RS01735	Bovatus_00355
Bovatus_RS01740	Bovatus_00356
Bovatus_RS01745	Bovatus_00357
Bovatus_RS01750	Bovatus_00358
Bovatus_RS01755	Bovatus_00359
Bovatus_RS01760	Bovatus_00360
Bovatus_RS01765	Bovatus_00361
Bovatus_RS01770	Bovatus_00362
Bovatus_RS01775	Bovatus_00363
Bovatus_RS01780	Bovatus_00364
Bovatus_RS01785	Bovatus_00365
Bovatus_RS01790	Bovatus_00366
Bovatus_RS01795	Bovatus_00367
Bovatus_RS24505	Bovatus_00368
Bovatus_RS01805	Bovatus_00369
Bovatus_RS01810	Bovatus_00370
Bovatus_RS01815	Bovatus_00371
Bovatus_RS01820	Bovatus_00372
Bovatus_RS01825	Bovatus_00373
Bovatus_RS01830	Bovatus_00374
Bovatus_RS01835	Bovatus_00375
Bovatus_RS01840	Bovatus_00376
Bovatus_RS01845	Bovatus_00377
Bovatus_RS01850	Bovatus_00378
Bovatus_RS01855	Bovatus_00379
Bovatus_RS01865	Bovatus_00381
Bovatus_RS01870	Bovatus_00382
Bovatus_RS01875	Bovatus_00383
Bovatus_RS01880	Bovatus_00384
Bovatus_RS01885	Bovatus_00385
Bovatus_RS01890	Bovatus_00386
Bovatus_RS01895	Bovatus_00387
Bovatus_RS01900	Bovatus_00388
Bovatus_RS01905	Bovatus_00389
Bovatus_RS01910	Bovatus_00390
Bovatus_RS01915	Bovatus_00391
Bovatus_RS01920	Bovatus_00392
Bovatus_RS01925	Bovatus_00393
Bovatus_RS01930	Bovatus_00394
Bovatus_RS01935	Bovatus_00395
Bovatus_RS01940	Bovatus_00397
Bovatus_RS01945	Bovatus_00398
Bovatus_RS01950	Bovatus_00399
Bovatus_RS01955	Bovatus_00400
Bovatus_RS01965	Bovatus_00402
Bovatus_RS01970	Bovatus_00403
Bovatus_RS01975	Bovatus_00404
Bovatus_RS01980	Bovatus_00405;partial=true;pseudo=true;start_range=.,494915
Bovatus_RS01985	Bovatus_00406
Bovatus_RS01990	Bovatus_00407
Bovatus_RS01995	Bovatus_00408
Bovatus_RS02000	Bovatus_00409
Bovatus_RS02005	Bovatus_00410
Bovatus_RS02010	Bovatus_00411
Bovatus_RS02015	Bovatus_00412
Bovatus_RS02020	Bovatus_00413
Bovatus_RS02025	Bovatus_00414
Bovatus_RS02030	Bovatus_00415
Bovatus_RS02035	Bovatus_00416
Bovatus_RS02040	Bovatus_00417
Bovatus_RS02045	Bovatus_00418
Bovatus_RS02050	Bovatus_00419
