"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS12380",0.0275963515669042,5.47709446779233,0.0174783949243798,0.895286146804192,0.965128906656955,"LK433_RS12380","LK433_RS12380"
"LK433_RS12820",-0.0306003940847001,5.26043098196644,0.0178142107065677,0.894290993745545,0.965128906656955,"LK433_RS12820","LK433_RS12820"
"LK433_RS13830",-0.0151899346504761,8.25991587339998,0.0185384963504128,0.892176667949051,0.965128906656955,"LK433_RS13830","LK433_RS13830"
"LK433_RS14325",-0.0179034654493767,7.31168715627511,0.0183157130847138,0.892822462279671,0.965128906656955,"LK433_RS14325","LK433_RS14325"
"LK433_RS10325",0.0776054035841723,2.02008130509519,0.0165779935943867,0.898003445787826,0.9654493104734,"LK433_RS10325","LK433_RS10325"
"LK433_RS05070",-0.00921731113592507,9.43286135111926,0.016362093545421,0.898666086645245,0.965787818349012,"LK433_RS05070","LK433_RS05070"
"LK433_RS02865",-0.0192977048543584,6.61798480585033,0.016063192415666,0.899590854345543,0.966407660548384,"LK433_RS02865","LK433_RS02865"
"LK433_RS12705",0.0190940643236194,7.04202111836592,0.015671917567687,0.900814734336641,0.966695565465661,"LK433_RS12705","LK433_RS12705"
"LK433_RS13215",-0.0267778210523651,5.80209758102571,0.0158037556027694,0.900400637999629,0.966695565465661,"LK433_RS13215","LK433_RS13215"
"LK433_RS13935",0.0213511552213017,6.15304698839687,0.0156438322151726,0.900903177322697,0.966695565465661,"LK433_RS13935","LK433_RS13935"
"LK433_RS10700",0.0196224205575334,6.54566566856709,0.0154616383471628,0.901478889420262,0.966939697149505,"LK433_RS10700","LK433_RS10700"
"LK433_RS02080",-0.0405213714999806,3.71553140069891,0.0147568624766353,0.903739004099191,0.96861567517694,"LK433_RS02080","LK433_RS02080"
"LK433_RS13875",0.0142286896515327,7.79750590084286,0.0147605044004465,0.903727185784385,0.96861567517694,"LK433_RS13875","LK433_RS13875"
"LK433_RS09145",0.0112100333919647,8.63539930420042,0.0140099102051805,0.906195017071371,0.970873287965739,"LK433_RS09145","LK433_RS09145"
"LK433_RS04920",-0.046575686863431,3.25286192693363,0.0136929592833506,0.907257203442382,0.971254128000481,"LK433_RS04920","LK433_RS04920"
"LK433_RS11375",0.00866519057234231,9.63783756328638,0.0135915338724034,0.907599734303654,0.971254128000481,"LK433_RS11375","LK433_RS11375"
"LK433_RS11850",-0.0223773628567336,6.08090123834323,0.0137803796183256,0.906963000805874,0.971254128000481,"LK433_RS11850","LK433_RS11850"
"LK433_RS11555",0.0285793380811624,5.79149232469682,0.0134560808467703,0.908089663261845,0.97140408123195,"LK433_RS11555","LK433_RS11555"
"LK433_RS00120",-0.0543263784979794,2.96758316203704,0.0130712226196082,0.909377646661269,0.972026201577512,"LK433_RS00120","LK433_RS00120"
"LK433_RS03825",-0.00727491527586761,11.5826615266294,0.0129130704974695,0.909925135568014,0.972026201577512,"LK433_RS03825","LK433_RS03825"
"LK433_RS11170",-0.00800185208314533,9.98717301909479,0.0129918475985321,0.90965200401051,0.972026201577512,"LK433_RS11170","LK433_RS11170"
"LK433_RS14145",-0.041978249905714,3.79610041081959,0.0128710003419572,0.910071344653054,0.972026201577512,"LK433_RS14145","LK433_RS14145"
"LK433_RS00400",-0.00933694651164063,9.78343704363515,0.0123273633200396,0.911982908794303,0.972496869160495,"LK433_RS00400","LK433_RS00400"
"LK433_RS00495",-0.00790347413817869,10.6798155358052,0.0122487054759917,0.912262997538023,0.972496869160495,"LK433_RS00495","LK433_RS00495"
"LK433_RS02635",0.0137306594236226,7.31813760544103,0.0124535850738242,0.911535336388534,0.972496869160495,"LK433_RS02635","LK433_RS02635"
"LK433_RS09460",0.0249460600725123,5.30653705595038,0.012347372017781,0.911911805295176,0.972496869160495,"LK433_RS09460","LK433_RS09460"
"LK433_RS10315",-0.0827176241385935,2.16004779240159,0.0123712333853306,0.911827087056279,0.972496869160495,"LK433_RS10315","LK433_RS10315"
