"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01970",0.212650073626138,7.18484383019183,1.64407049106484,0.204948453683322,0.390894131784743,"LK433_RS01970","LK433_RS01970"
"LK433_RS07130",0.129702821463365,8.19528991806006,1.64267474055346,0.205138112294392,0.390987328648955,"LK433_RS07130","LK433_RS07130"
"LK433_RS13215",-0.292659190484447,5.80209758102571,1.63799691030916,0.205775294138476,0.39193277902781,"LK433_RS13215","LK433_RS13215"
"LK433_RS14180",-0.328340442858147,5.1092040859339,1.63538059578998,0.206132711249488,0.392344440808655,"LK433_RS14180","LK433_RS14180"
"LK433_RS14730",0.244903667268249,6.46564768225598,1.63401097386519,0.206320115171401,0.392432164267795,"LK433_RS14730","LK433_RS14730"
"LK433_RS06615",0.149059226165482,7.90563967091651,1.63297352921586,0.206462204464563,0.392433635727647,"LK433_RS06615","LK433_RS06615"
"LK433_RS04255",-0.295185972505129,5.40576779893641,1.6296408998511,0.206919443831857,0.392765068708862,"LK433_RS04255","LK433_RS04255"
"LK433_RS12720",-0.175089027150461,7.38976825456764,1.62970724759666,0.206910328952469,0.392765068708862,"LK433_RS12720","LK433_RS12720"
"LK433_RS01280",-0.303269231257711,5.67548396692062,1.62086808874377,0.208128938181247,0.394791025498171,"LK433_RS01280","LK433_RS01280"
"LK433_RS10740",-0.161026580888027,7.35865826195338,1.61922531392386,0.208356373423611,0.39495266143165,"LK433_RS10740","LK433_RS10740"
"LK433_RS00395",-0.10747027817062,9.19164861016829,1.61705854215341,0.208656813346227,0.394982938420226,"LK433_RS00395","LK433_RS00395"
"LK433_RS06675",0.301804571880509,5.15652698018758,1.61722943826161,0.208633098246551,0.394982938420226,"LK433_RS06675","LK433_RS06675"
"LK433_RS09430",-0.552634529186973,2.8539344311241,1.61453392349471,0.209007532355806,0.395377327896507,"LK433_RS09430","LK433_RS09430"
"LK433_RS12480",-0.105817279954814,9.34902856872875,1.61095709073229,0.209505645674782,0.396049814866488,"LK433_RS12480","LK433_RS12480"
"LK433_RS00870",-0.54655701284793,3.39747782485245,1.60634413442898,0.210150172496033,0.396997978926178,"LK433_RS00870","LK433_RS00870"
"LK433_RS00270",-0.107904313337821,9.06197292316328,1.60420148346367,0.210450361767183,0.397294802601948,"LK433_RS00270","LK433_RS00270"
"LK433_RS00790",-0.222622129225867,6.13916462206116,1.59533660923543,0.211697877702994,0.399206351124406,"LK433_RS00790","LK433_RS00790"
"LK433_RS01400",-0.763829626494108,1.23555084844725,1.5936992965997,0.211929268755726,0.399206351124406,"LK433_RS01400","LK433_RS01400"
"LK433_RS03480",-0.21376840061737,6.46556769228843,1.5909009450981,0.21232545214647,0.399206351124406,"LK433_RS03480","LK433_RS03480"
"LK433_RS04375",0.272935182577221,5.52681048443945,1.59184089131779,0.21219227693609,0.399206351124406,"LK433_RS04375","LK433_RS04375"
"LK433_RS07535",-0.370900252702748,4.691632770259,1.59227966282295,0.212130144760232,0.399206351124406,"LK433_RS07535","LK433_RS07535"
"LK433_RS08990",-0.140184071752582,8.18452377175952,1.59431517494554,0.211842194616884,0.399206351124406,"LK433_RS08990","LK433_RS08990"
"LK433_RS04955",0.306956157337899,5.3945609323156,1.58089151102362,0.213749933207459,0.401341152479454,"LK433_RS04955","LK433_RS04955"
"LK433_RS08870",0.235505939207814,5.96276764916051,1.58170357407556,0.213633934112987,0.401341152479454,"LK433_RS08870","LK433_RS08870"
"LK433_RS01475",0.264837800535389,6.09078487108751,1.57114734819483,0.215147819047661,0.403420319713272,"LK433_RS01475","LK433_RS01475"
"LK433_RS04305",-0.534633470169172,2.92283240320234,1.57135668099547,0.215117671920356,0.403420319713272,"LK433_RS04305","LK433_RS04305"
"LK433_RS03680",-0.199177106171135,6.98885685968066,1.56823089747933,0.215568367078864,0.403902608318216,"LK433_RS03680","LK433_RS03680"
"LK433_RS08420",-0.31334208545237,5.30327050577144,1.56734770378339,0.215695919386357,0.403902608318216,"LK433_RS08420","LK433_RS08420"
"LK433_RS07115",-0.128832673308418,8.42027202454307,1.5613390531999,0.216566138717884,0.405258872789463,"LK433_RS07115","LK433_RS07115"
