"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS00535",-0.388740700604433,12.1664998242848,41.3328137006392,2.8058058726775e-08,1.83625925045598e-06,"LK433_RS00535","LK433_RS00535"
"LK433_RS05560",0.597184331986069,9.70533429346565,41.4816789745343,2.84332545083209e-08,1.83625925045598e-06,"LK433_RS05560","LK433_RS05560"
"LK433_RS10925",0.433985736106264,11.4914625127344,40.8505980107272,3.23837612165167e-08,2.04385692950607e-06,"LK433_RS10925","LK433_RS10925"
"LK433_RS08515",0.510822051906794,10.5746268090818,40.3401674908874,3.77218019428215e-08,2.32785431100478e-06,"LK433_RS08515","LK433_RS08515"
"LK433_RS02525",0.95910794869119,6.92311196877608,39.9512842717004,4.23958742886701e-08,2.50496474254547e-06,"LK433_RS02525","LK433_RS02525"
"LK433_RS11365",0.777152071050813,7.40481266216483,40.0223404073748,4.14990466506967e-08,2.50496474254547e-06,"LK433_RS11365","LK433_RS11365"
"LK433_RS08950",0.464600745099065,10.9455285819194,39.3992301144551,5.00852395575386e-08,2.89763979690177e-06,"LK433_RS08950","LK433_RS08950"
"LK433_RS07155",0.562010387391689,9.40147175156191,39.0177834407374,5.62316718966814e-08,3.18684393585887e-06,"LK433_RS07155","LK433_RS07155"
"LK433_RS05480",-0.562734389737541,9.39907890154417,38.760778058047,6.08094073089219e-08,3.37735448193752e-06,"LK433_RS05480","LK433_RS05480"
"LK433_RS13820",-0.739863539871316,7.54394055601871,38.6691471936112,6.25334656732238e-08,3.40500851322632e-06,"LK433_RS13820","LK433_RS13820"
"LK433_RS13815",-0.858628188965117,7.66575491859822,37.8047551492763,8.15188093241958e-08,4.35341795179407e-06,"LK433_RS13815","LK433_RS13815"
"LK433_RS06560",0.816094229404967,10.4622728890619,48.0992388018752,8.8916044061289e-08,4.6588651765698e-06,"LK433_RS06560","LK433_RS06560"
"LK433_RS06665",-0.665404777775793,8.62140382899168,36.9668255989571,1.05667512605562e-07,5.43404967603047e-06,"LK433_RS06665","LK433_RS06665"
"fabF",0.363892343064646,12.7386300160811,36.508218068015,1.21917317517007e-07,6.1557161953587e-06,"LK433_RS02380","LK433_RS02380"
"LK433_RS13285",0.440374946107585,11.9124189714542,35.7610339745311,1.64078228125419e-07,8.13652213400513e-06,"LK433_RS13285","LK433_RS13285"
"LK433_RS12865",1.26144019854075,6.40198866877962,35.3272885242914,2.03796938354539e-07,9.92884382123781e-06,"LK433_RS12865","LK433_RS12865"
"LK433_RS11165",0.508933781075306,10.2838614830372,34.9403028564159,2.08855708592972e-07,9.99986728901179e-06,"LK433_RS11165","LK433_RS11165"
"LK433_RS12210",-0.556287654303583,9.49305717885652,34.5289240962716,2.29313330365325e-07,1.07932731936357e-05,"LK433_RS12210","LK433_RS12210"
"LK433_RS13075",-0.631096697857973,7.84859017554839,34.3878103256045,2.38542127134523e-07,1.10405247842095e-05,"LK433_RS13075","LK433_RS13075"
"LK433_RS08780",0.585966366440107,10.7820924028946,37.8443976904827,2.5163569754175e-07,1.11989693073439e-05,"LK433_RS08780","LK433_RS08780"
"LK433_RS08805",0.611866544277143,8.25815681621241,34.1913045380908,2.54063761743848e-07,1.11989693073439e-05,"LK433_RS08805","LK433_RS08805"
"LK433_RS11880",-1.10128521148613,5.80400583952785,34.211127592344,2.52451573450052e-07,1.11989693073439e-05,"LK433_RS11880","LK433_RS11880"
"LK433_RS10090",0.604836928545163,8.06317783140507,33.7249450518718,2.95236121379985e-07,1.28104798292534e-05,"LK433_RS10090","LK433_RS10090"
"LK433_RS12870",1.07148611528276,6.88524012055974,33.3496704523294,4.04389077880712e-07,1.72767456811498e-05,"LK433_RS12870","LK433_RS12870"
"LK433_RS00490",-0.348079150174827,12.1531667700487,32.493618577739,4.40679387765568e-07,1.83966833662569e-05,"LK433_RS00490","LK433_RS00490"
"LK433_RS00675",0.72936094224804,7.56035717968633,32.4686483770216,4.44300483244632e-07,1.83966833662569e-05,"LK433_RS00675","LK433_RS00675"
"LK433_RS10905",-0.533417179938492,8.47259247373713,32.4265398453906,4.50476942349827e-07,1.83966833662569e-05,"LK433_RS10905","LK433_RS10905"
"LK433_RS06280",-0.407843525091582,10.0430872426571,32.3600436408592,4.6041242872043e-07,1.85299320950237e-05,"LK433_RS06280","LK433_RS06280"
"LK433_RS13180",0.65452936349385,9.76121377730588,35.8068014909818,4.76947457365444e-07,1.8899773319707e-05,"LK433_RS13180","LK433_RS13180"
"LK433_RS13660",-1.06294120339929,6.13626132304306,32.2129006003301,4.83213505833343e-07,1.8899773319707e-05,"LK433_RS13660","LK433_RS13660"
"LK433_RS03800",0.400672462662999,11.4512244276357,32.1637133265179,4.91093965442076e-07,1.89412214171201e-05,"LK433_RS03800","LK433_RS03800"
"LK433_RS11970",-0.539658069305991,8.10182462793619,31.7312304151781,5.66391425715891e-07,2.15461505371648e-05,"LK433_RS11970","LK433_RS11970"
"LK433_RS12255",-0.577350880976217,8.55392252480436,31.6462977965754,5.82533780119007e-07,2.18607609106822e-05,"LK433_RS12255","LK433_RS12255"
"LK433_RS07095",0.370939231404026,9.93241762936427,31.5688053706051,5.97678172441558e-07,2.21300304649361e-05,"LK433_RS07095","LK433_RS07095"
"LK433_RS03785",0.521783243839873,8.68419131834681,31.4500316603897,6.21687024730583e-07,2.27161166799583e-05,"LK433_RS03785","LK433_RS03785"
"LK433_RS07845",-0.308657136071788,12.0728116962799,31.2757639242127,6.5873773443599e-07,2.37573336172564e-05,"LK433_RS07845","LK433_RS07845"
"LK433_RS10265",0.751246335531805,7.67570061511854,30.9093719923152,7.44294157036888e-07,2.64987804370697e-05,"LK433_RS10265","LK433_RS10265"
"LK433_RS09195",0.740297354607546,7.34390189416795,30.69863994353,7.98645656261726e-07,2.80739112334027e-05,"LK433_RS09195","LK433_RS09195"
